[2024-11-27 01:38:01.883] [info]  DiscordSplash.signalReady
[2024-11-27 01:38:01.952] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-27 01:38:01.953] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-27 01:38:01.954] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-27 01:38:01.954] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-27 01:38:01.955] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-27 01:38:01.955] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-27 01:38:01.955] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-27 01:38:01.955] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-27 01:38:01.955] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-27 01:38:01.955] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-27 01:38:01.955] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-27 01:38:01.956] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-27 01:38:01.956] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-27 01:38:01.956] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-27 01:38:02.141] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-27 01:38:02.142] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-27 01:38:02.486] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-27 01:38:02.486] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-27 01:38:02.490] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-27 01:38:02.491] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-27 01:38:02.501] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-11-27 01:38:02.501] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-11-27 01:38:02.504] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-27 01:38:02.505] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-27 01:38:02.507] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-27 01:38:02.507] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-27 01:38:02.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-27 01:38:02.514] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-27 01:38:02.515] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-27 01:38:02.515] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-27 01:38:02.518] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-27 01:38:02.518] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-27 01:38:02.521] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-27 01:38:02.522] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-27 01:38:02.523] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-27 01:38:02.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-27 01:38:02.526] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-27 01:38:02.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-27 01:38:02.532] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-11-27 01:38:02.533] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-11-27 01:38:02.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-11-27 01:38:02.536] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-11-27 01:38:02.538] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
